YUESHEN MEDICAL YSBSC-1000IIA2 Laboratory Cabinet, 2 318 $, New,  China
YUESHEN MEDICAL YSTE-DF50 Hematology Analyzer, 7 686 $, New,  China
BECKMAN COULTER UniCel DxH 600 Hematology Analyzer, 3 017 $, Used,  France
BIOMERIEUX Vidas Blue Immunoassay Analyzer, 9 535 $,  France, 2013
BIOMERIEUX Vidas Immunoassay Analyzer, 38 624 $,  France, Used
RESPIRONICS BiliChek Bilirubin Meter, 8 328 $,  Spain, Used
ROCHE Cobas E411 Immunoassay Analyzer, 15 691 $, 2020, New
BIOMERIEUX Vitek 2 Compact 30 Bacterial Identification System, 6 638 $, New,  Germany
ROCHE Cobas E411 Immunoassay Analyzer, 7 000 $,  France, 2021
VITALAB Selectra E Biochemical Analyzer, 9 052 $,  France, Refurbished
BIOMERIEUX Vitek 2 Compact 15 Bacterial Identification System, 1 388 $,  France, Used Good
BIOMERIEUX Vitek 2 Compact 60 Bacterial Identification System, 32 000 $,  France, Refurbished
SIEMENS RAPIDLab 348 Blood Gas Analyzer, 9 535 $,  France, Refurbished
ROCHE C8000 Immunoassay Analyzer, 724 $,  Germany, Refurbished
BIOMERIEUX Vitek 2XL Bacterial Identification System, 1 086 $, 2010, Used
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, Used,  Germany
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  France, 2011
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  Netherlands, Refurbished
SYSMEX XN-1000 Hematology Analyzer, 8 449 $,  Netherlands, Used
SYSMEX XE 2100 D Hematology Analyzer, 5 069 $,  France, New
SYSMEX XT 4000i Hematology Analyzer, 9 500 $, 2009, Used
SYSMEX XS 800i Hematology Analyzer, 1 448 $, Used,  France
SIEMENS ADVIA Centaur XP Immunoassay Analyzer, 712 $,  France, 2016
SIEMENS RapidLab 1265 Blood Gas Analyzer, 18 105 $, 2008, Used
ZEISS Axiostar Plus Microscope, 3 500 $, Refurbished,  France
ROCHE Cobas E601 Immunoassay Analyzer, 625 $, Refurbished,  France
"ABL800 FLEX Blutgasanalysator, Modell 835", 1 988 $, Used Very Good,  Turkey
Olympus U-DCW Darkfield Condenser oil 1.40/1.20 Part # 6-U185, 2 727 $,  Germany, 2010
ROCHE Cobas Amplicor PCR Analyzer, 724 $, 2011, Used
Leica S9E Stereo Microscope on Table Stand, 1 086 $, Used Very Good,  Germany
CIMAREC Telemodul 20c Laboratory Controller, 4 828 $, Refurbished,  France
THERMO SCIENTIFIC Pierce Other Lab Equipment, 1 448 $, Used,  Germany
BECKMAN UniCel DxI 600 Immunoassay Analyzer, 2 414 $, Used,  USA
ORGENTEC I-Pro Slide Stainer, 1 025 $, Used,  USA
BIOMERIEUX Mini VIDAS Immunoassay Analyzer, 18 105 $, New,  USA
BIOSYSTEMS BTS 310 Chemistry Analyzer, 2 050 $, Used,  Netherlands
ROCHE COBAS 6000 C501+E601 Chemistry Analyzer, 6 999 $, New,  Netherlands
SIEMENS Dimension Xpand Biochemical Analyzer, 29 500 $, Used,  France
Warranty New Bio-Rad Chromo 4 q-PCR RT-PCR 4 color + software, 65 000 $,  France, 2011
Used Siemens Dimension EXL 200 Chemistry Analyzer (Clinical Diagnostics), 4 750 $, 2018, Used
Used BioFire Torch 4 Module PCR/Thermal Cycler, 50 $, Used,  France
Nova Biomedical Bioprofile 400, 1 810 $, Used,  Portugal
T158617 Agilent 5188-8045 Remote Cable APG-ERI for 1260 Infinity II Systems, 130 $, Refurbished,  France
SYSMEX XE-2100 Hematology Analyzer, 724 $, Used,  USA
