equipment,cost,condition,country
YUESHEN MEDICAL YSBSC-1000IIA2 Laboratory Cabinet,2318,New,China
YUESHEN MEDICAL YSTE-DF50 Hematology Analyzer,7686,New,China
BECKMAN COULTER UniCel DxH 600 Hematology Analyzer,3017,Used,France
BIOMERIEUX Vidas Blue Immunoassay Analyzer,9535,,France
BIOMERIEUX Vidas Immunoassay Analyzer,38624,Used,France
RESPIRONICS BiliChek Bilirubin Meter,8328,Used,Spain
ROCHE Cobas E411 Immunoassay Analyzer,15691,New,
BIOMERIEUX Vitek 2 Compact 30 Bacterial Identification System,6638,New,Germany
ROCHE Cobas E411 Immunoassay Analyzer,7000,,France
VITALAB Selectra E Biochemical Analyzer,9052,Refurbished,France
BIOMERIEUX Vitek 2 Compact 15 Bacterial Identification System,1388,Used Good,France
BIOMERIEUX Vitek 2 Compact 60 Bacterial Identification System,32000,Refurbished,France
SIEMENS RAPIDLab 348 Blood Gas Analyzer,9535,Refurbished,France
ROCHE C8000 Immunoassay Analyzer,724,Refurbished,Germany
BIOMERIEUX Vitek 2XL Bacterial Identification System,1086,Used,
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,Germany
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,,France
SYSMEX XT-2000i Hematology Analyzer,3500,Refurbished,Netherlands
SYSMEX XN-1000 Hematology Analyzer,8449,Used,Netherlands
SYSMEX XE 2100 D Hematology Analyzer,5069,New,France
SYSMEX XT 4000i Hematology Analyzer,9500,Used,
SYSMEX XS 800i Hematology Analyzer,1448,Used,France
SIEMENS ADVIA Centaur XP Immunoassay Analyzer,712,,France
SIEMENS RapidLab 1265 Blood Gas Analyzer,18105,Used,
ZEISS Axiostar Plus Microscope,3500,Refurbished,France
ROCHE Cobas E601 Immunoassay Analyzer,625,Refurbished,France
"ABL800 FLEX Blutgasanalysator, Modell 835",1988,Used Very Good,Turkey
Olympus U-DCW Darkfield Condenser oil 1.40/1.20 Part # 6-U185,2727,,Germany
ROCHE Cobas Amplicor PCR Analyzer,724,Used,
Leica S9E Stereo Microscope on Table Stand,1086,Used Very Good,Germany
CIMAREC Telemodul 20c Laboratory Controller,4828,Refurbished,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,1448,Used,Germany
BECKMAN UniCel DxI 600 Immunoassay Analyzer,2414,Used,USA
ORGENTEC I-Pro Slide Stainer,1025,Used,USA
BIOMERIEUX Mini VIDAS Immunoassay Analyzer,18105,New,USA
BIOSYSTEMS BTS 310 Chemistry Analyzer,2050,Used,Netherlands
ROCHE COBAS 6000 C501+E601 Chemistry Analyzer,6999,New,Netherlands
SIEMENS Dimension Xpand Biochemical Analyzer,29500,Used,France
Warranty New Bio-Rad Chromo 4 q-PCR RT-PCR 4 color + software,65000,,France
Used Siemens Dimension EXL 200 Chemistry Analyzer (Clinical Diagnostics),4750,Used,
Used BioFire Torch 4 Module PCR/Thermal Cycler,50,Used,France
Nova Biomedical Bioprofile 400,1810,Used,Portugal
T158617 Agilent 5188-8045 Remote Cable APG-ERI for 1260 Infinity II Systems,130,Refurbished,France
SYSMEX XE-2100 Hematology Analyzer,724,Used,USA
"USA Scientific Layer4 Comfort Nitrile Exam Gloves Apparel, Gloves, Lab Coats",1086,New,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,USA
SYSMEX XT-2000i Hematology Analyzer,3500,Used,USA
SYSMEX XN-1000 Hematology Analyzer,400,For Parts,USA
SYSMEX XE 2100 D Hematology Analyzer,90,Used Good,Belgium
